0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
31,management,single,tertiary,no,933,yes,no,cellular,9,jul,134,1,-1,0,unknown,no
45,blue-collar,married,secondary,no,1345,yes,no,unknown,19,may,120,7,-1,0,unknown,no
20,student,single,secondary,no,215,no,no,cellular,24,nov,325,1,95,5,success,yes
54,technician,divorced,secondary,no,2156,yes,no,cellular,30,apr,258,1,86,5,success,yes
33,admin.,single,secondary,no,745,yes,no,cellular,17,apr,278,2,333,1,other,no
59,management,married,primary,no,0,yes,no,telephone,7,may,123,3,-1,0,unknown,no
52,management,divorced,tertiary,no,-299,no,no,cellular,29,jul,110,2,-1,0,unknown,no
54,admin.,married,secondary,no,3729,no,yes,cellular,18,nov,597,2,116,1,other,no
50,admin.,married,secondary,no,2695,no,no,cellular,17,may,312,2,159,2,other,no
54,management,divorced,tertiary,no,5253,yes,yes,cellular,7,jul,17,19,-1,0,unknown,no
